          atime          uplus          yplus           Wshr          trash          trash
  3.6000000E+02  5.2448041E-15  6.2540578E-15  3.5885249E-03  5.0000000E-02  5.0000000E-02
  3.6000000E+02  1.1473016E+00  1.3548233E+00  3.5885249E-03  5.4500000E-02  5.4500000E-02
  3.6000000E+02  2.2202968E+00  2.7096466E+00  3.5885249E-03  5.9000000E-02  5.9000000E-02
  3.6000000E+02  3.1151227E+00  4.0644699E+00  3.5885249E-03  6.3500000E-02  6.3500000E-02
  3.6000000E+02  3.8560026E+00  5.4192932E+00  3.5885249E-03  6.8000000E-02  6.8000000E-02
  3.6000000E+02  4.5016075E+00  6.7741165E+00  3.5885249E-03  7.2500000E-02  7.2500000E-02
  3.6000000E+02  5.0926318E+00  8.1289398E+00  3.5885249E-03  7.7000000E-02  7.7000000E-02
  3.6000000E+02  5.6503259E+00  9.4837631E+00  3.5885249E-03  8.1500000E-02  8.1500000E-02
  3.6000000E+02  6.1864342E+00  1.0838586E+01  3.5885249E-03  8.6000000E-02  8.6000000E-02
  3.6000000E+02  6.7064671E+00  1.2193410E+01  3.5885249E-03  9.0500000E-02  9.0500000E-02
  3.6000000E+02  7.2133856E+00  1.3548233E+01  3.5885249E-03  9.5000000E-02  9.5000000E-02
  3.6000000E+02  7.7082747E+00  1.4903056E+01  3.5885249E-03  9.9500000E-02  9.9500000E-02
  3.6000000E+02  8.1913390E+00  1.6257880E+01  3.5885249E-03  1.0400000E-01  1.0400000E-01
  3.6000000E+02  8.6621052E+00  1.7612703E+01  3.5885249E-03  1.0850000E-01  1.0850000E-01
  3.6000000E+02  9.1196187E+00  1.8967526E+01  3.5885249E-03  1.1300000E-01  1.1300000E-01
  3.6000000E+02  9.5625999E+00  2.0322349E+01  3.5885249E-03  1.1750000E-01  1.1750000E-01
  3.6000000E+02  9.9895607E+00  2.1677173E+01  3.5885249E-03  1.2200000E-01  1.2200000E-01
  3.6000000E+02  1.0398881E+01  2.3031996E+01  3.5885249E-03  1.2650000E-01  1.2650000E-01
  3.6000000E+02  1.0788910E+01  2.4386819E+01  3.5885249E-03  1.3100000E-01  1.3100000E-01
  3.6000000E+02  1.1158261E+01  2.5741643E+01  3.5885249E-03  1.3550000E-01  1.3550000E-01
  3.6000000E+02  1.1505554E+01  2.7096466E+01  3.5885249E-03  1.4000000E-01  1.4000000E-01
  3.6000000E+02  1.1830127E+01  2.8451289E+01  3.5885249E-03  1.4450000E-01  1.4450000E-01
  3.6000000E+02  1.2131832E+01  2.9806113E+01  3.5885249E-03  1.4900000E-01  1.4900000E-01
  3.6000000E+02  1.2411001E+01  3.1160936E+01  3.5885249E-03  1.5350000E-01  1.5350000E-01
