          atime           conv           prod        pres_tr        pres_df        garbage
  3.6000000E+02 -4.4947898E-05 -1.7530732E-19  5.6805987E-16 -1.0661514E-01  4.3582158E-06
  3.6000000E+02  9.3713119E-02 -3.8574781E-02  8.2784963E-02 -2.5828633E-02  1.5927639E-06
  3.6000000E+02  1.4492105E-01 -7.5325683E-02  1.0863630E-01  1.8903944E-02  1.0866275E-05
  3.6000000E+02  9.9023699E-02 -7.0404341E-02  1.0476891E-01  3.2458834E-02  3.2987504E-06
  3.6000000E+02  3.8530649E-02 -5.0907659E-02  9.0858192E-02  2.8974173E-02  4.9326253E-06
  3.6000000E+02 -5.7116968E-03 -3.1318229E-02  7.6572077E-02  2.1751614E-02  2.4652140E-06
  3.6000000E+02 -3.3464395E-02 -1.4435182E-02  6.5101559E-02  1.5784835E-02  6.7882848E-06
  3.6000000E+02 -4.9095432E-02 -1.3374428E-04  5.6600451E-02  1.1739637E-02  1.7387204E-06
  3.6000000E+02 -5.5932690E-02  1.1735874E-02  5.0340029E-02  9.3174517E-03  5.3176418E-05
  3.6000000E+02 -5.6787550E-02  2.1499681E-02  4.5315529E-02  7.6341654E-03  3.3145444E-06
  3.6000000E+02 -5.3803981E-02  2.9361301E-02  4.0883810E-02  6.4114345E-03  6.6230623E-06
  3.6000000E+02 -4.8356375E-02  3.5537513E-02  3.6610545E-02  5.2359337E-03  1.1091380E-05
  3.6000000E+02 -4.1559338E-02  4.0215490E-02  3.2366288E-02  3.9246284E-03  5.7245266E-06
  3.6000000E+02 -3.4257654E-02  4.3557487E-02  2.8162638E-02  2.4551723E-03  2.0599270E-06
  3.6000000E+02 -2.7028672E-02  4.5700370E-02  2.4080719E-02  8.8464591E-04  7.6192144E-06
  3.6000000E+02 -2.0240256E-02  4.6758271E-02  2.0244567E-02 -7.0022687E-04  1.3174301E-05
  3.6000000E+02 -1.4128020E-02  4.6831733E-02  1.6785746E-02 -2.1964138E-03  3.8385964E-06
  3.6000000E+02 -8.8555637E-03  4.6026662E-02  1.3745483E-02 -3.4564954E-03  3.9942607E-06
  3.6000000E+02 -4.5205481E-03  4.4474696E-02  1.1023919E-02 -4.4000242E-03  6.6709334E-05
  3.6000000E+02 -1.0649777E-03  4.2262229E-02  8.8766272E-03 -5.2558271E-03 -2.5441615E-06
  3.6000000E+02  1.5576814E-03  3.9572266E-02  7.0250888E-03 -5.6402082E-03  1.5320405E-06
  3.6000000E+02  3.4110260E-03  3.6584229E-02  5.5738405E-03 -5.7790505E-03  1.2205626E-05
  3.6000000E+02  4.6020587E-03  3.3461853E-02  4.5051714E-03 -5.7442442E-03  1.1953214E-05
  3.6000000E+02  5.2560771E-03  3.0345912E-02  3.7541022E-03 -5.5569085E-03  4.8805678E-06
  3.6000000E+02  5.4988356E-03  2.7349615E-02  3.2510359E-03 -5.2390424E-03 -4.5533150E-07
  3.6000000E+02  5.4449142E-03  2.4556506E-02  2.9400112E-03 -4.8277495E-03  2.7170858E-07
  3.6000000E+02  5.1912276E-03  2.2020692E-02  2.7804917E-03 -4.3661835E-03  5.0650558E-06
  3.6000000E+02  4.8146061E-03  1.9769242E-02  2.7406237E-03 -3.8853601E-03  8.1972474E-06
  3.6000000E+02  4.3723847E-03  1.7806585E-02  2.7898933E-03 -3.3909806E-03  5.5800683E-06
