          atime          uvari          vvari          wvari          pvari          tvari
  7.8507600E+01 -1.6271053E-13 -1.0468093E-15 -6.3193944E-14  1.7041307E-03  0.0000000E+00
  7.8507600E+01  2.4146118E-02  3.4264082E-04  1.0868092E-02  1.4353312E-03  0.0000000E+00
  7.8507600E+01  3.2701179E-02  1.7037153E-03  2.6881483E-02  1.0392068E-03  0.0000000E+00
  7.8507600E+01  3.0148725E-02  3.8452852E-03  3.0264278E-02  8.4768470E-04  0.0000000E+00
  7.8507600E+01  2.9228312E-02  6.0459228E-03  2.9100066E-02  7.8534190E-04  0.0000000E+00
  7.8507600E+01  2.8898900E-02  7.9543233E-03  2.7584567E-02  7.7419244E-04  0.0000000E+00
  7.8507600E+01  2.8697924E-02  9.4983481E-03  2.6278690E-02  7.8270521E-04  0.0000000E+00
  7.8507600E+01  2.8557450E-02  1.0775508E-02  2.5160240E-02  7.9736397E-04  0.0000000E+00
  7.8507600E+01  2.8553336E-02  1.1864260E-02  2.4206099E-02  8.1052431E-04  0.0000000E+00
  7.8507600E+01  2.8656132E-02  1.2780861E-02  2.3434557E-02  8.2090089E-04  0.0000000E+00
  7.8507600E+01  2.8830182E-02  1.3529596E-02  2.2890915E-02  8.2917616E-04  0.0000000E+00
  7.8507600E+01  2.9132155E-02  1.4120976E-02  2.2554977E-02  8.3722187E-04  0.0000000E+00
  7.8507600E+01  2.9540254E-02  1.4559929E-02  2.2310323E-02  8.4637816E-04  0.0000000E+00
  7.8507600E+01  2.9977971E-02  1.4856053E-02  2.2076102E-02  8.5632915E-04  0.0000000E+00
  7.8507600E+01  3.0370717E-02  1.5031076E-02  2.1829705E-02  8.6614779E-04  0.0000000E+00
  7.8507600E+01  3.0660463E-02  1.5113358E-02  2.1585313E-02  8.7501431E-04  0.0000000E+00
  7.8507600E+01  3.0874318E-02  1.5116454E-02  2.1370909E-02  8.8193401E-04  0.0000000E+00
  7.8507600E+01  3.1025827E-02  1.5036489E-02  2.1178585E-02  8.8521426E-04  0.0000000E+00
  7.8507600E+01  3.1110366E-02  1.4883289E-02  2.0981563E-02  8.8289929E-04  0.0000000E+00
  7.8507600E+01  3.1139302E-02  1.4682621E-02  2.0770195E-02  8.7400474E-04  0.0000000E+00
  7.8507600E+01  3.1069267E-02  1.4467183E-02  2.0529044E-02  8.5898326E-04  0.0000000E+00
  7.8507600E+01  3.0858493E-02  1.4265128E-02  2.0228834E-02  8.3871282E-04  0.0000000E+00
  7.8507600E+01  3.0522133E-02  1.4078778E-02  1.9872975E-02  8.1380979E-04  0.0000000E+00
  7.8507600E+01  3.0144541E-02  1.3891861E-02  1.9503296E-02  7.8588203E-04  0.0000000E+00
  7.8507600E+01  2.9772324E-02  1.3683990E-02  1.9151618E-02  7.5742353E-04  0.0000000E+00
  7.8507600E+01  2.9333952E-02  1.3452942E-02  1.8806136E-02  7.2998185E-04  0.0000000E+00
  7.8507600E+01  2.8785934E-02  1.3219019E-02  1.8437018E-02  7.0409422E-04  0.0000000E+00
  7.8507600E+01  2.8207409E-02  1.2992682E-02  1.8048667E-02  6.8003475E-04  0.0000000E+00
  7.8507600E+01  2.7648373E-02  1.2772081E-02  1.7667454E-02  6.5767761E-04  0.0000000E+00
  7.8507600E+01  2.7143989E-02  1.2550018E-02  1.7312139E-02  6.3630241E-04  0.0000000E+00
  7.8507600E+01  2.6725650E-02  1.2321526E-02  1.6958821E-02  6.1506185E-04  0.0000000E+00
  7.8507600E+01  2.6379201E-02  1.2088115E-02  1.6572410E-02  5.9404751E-04  0.0000000E+00
  7.8507600E+01  2.6048933E-02  1.1857331E-02  1.6171046E-02  5.7457521E-04  0.0000000E+00
  7.8507600E+01  2.5684202E-02  1.1643061E-02  1.5809638E-02  5.5799446E-04  0.0000000E+00
  7.8507600E+01  2.5245981E-02  1.1455037E-02  1.5517386E-02  5.4437809E-04  0.0000000E+00
  7.8507600E+01  2.4739868E-02  1.1290394E-02  1.5289937E-02  5.3266228E-04  0.0000000E+00
  7.8507600E+01  2.4209408E-02  1.1141664E-02  1.5103204E-02  5.2152169E-04  0.0000000E+00
  7.8507600E+01  2.3674001E-02  1.1003547E-02  1.4932576E-02  5.1015676E-04  0.0000000E+00
  7.8507600E+01  2.3110551E-02  1.0876027E-02  1.4772109E-02  4.9870354E-04  0.0000000E+00
  7.8507600E+01  2.2526854E-02  1.0758016E-02  1.4639298E-02  4.8769112E-04  0.0000000E+00
  7.8507600E+01  2.1959473E-02  1.0642667E-02  1.4547705E-02  4.7735990E-04  0.0000000E+00
  7.8507600E+01  2.1436204E-02  1.0527434E-02  1.4474723E-02  4.6786236E-04  0.0000000E+00
  7.8507600E+01  2.0971310E-02  1.0415639E-02  1.4381046E-02  4.5919893E-04  0.0000000E+00
  7.8507600E+01  2.0560207E-02  1.0305899E-02  1.4232460E-02  4.5107577E-04  0.0000000E+00
  7.8507600E+01  2.0185086E-02  1.0193353E-02  1.4017190E-02  4.4299191E-04  0.0000000E+00
  7.8507600E+01  1.9833074E-02  1.0077975E-02  1.3752195E-02  4.3462137E-04  0.0000000E+00
  7.8507600E+01  1.9495915E-02  9.9650277E-03  1.3467725E-02  4.2596525E-04  0.0000000E+00
  7.8507600E+01  1.9153565E-02  9.8538627E-03  1.3175725E-02  4.1701769E-04  0.0000000E+00
  7.8507600E+01  1.8791517E-02  9.7412174E-03  1.2890518E-02  4.0772126E-04  0.0000000E+00
  7.8507600E+01  1.8411055E-02  9.6249526E-03  1.2619115E-02  3.9794143E-04  0.0000000E+00
  7.8507600E+01  1.8012568E-02  9.5034848E-03  1.2357583E-02  3.8750182E-04  0.0000000E+00
  7.8507600E+01  1.7600352E-02  9.3759287E-03  1.2099592E-02  3.7631558E-04  0.0000000E+00
  7.8507600E+01  1.7187844E-02  9.2411486E-03  1.1840323E-02  3.6443945E-04  0.0000000E+00
  7.8507600E+01  1.6801295E-02  9.0988058E-03  1.1583295E-02  3.5215158E-04  0.0000000E+00
  7.8507600E+01  1.6459391E-02  8.9488961E-03  1.1340638E-02  3.3968476E-04  0.0000000E+00
  7.8507600E+01  1.6163226E-02  8.7953037E-03  1.1119584E-02  3.2730556E-04  0.0000000E+00
  7.8507600E+01  1.5901588E-02  8.6472731E-03  1.0916338E-02  3.1534309E-04  0.0000000E+00
  7.8507600E+01  1.5667167E-02  8.5109278E-03  1.0724215E-02  3.0394460E-04  0.0000000E+00
  7.8507600E+01  1.5455551E-02  8.3868858E-03  1.0535247E-02  2.9323658E-04  0.0000000E+00
  7.8507600E+01  1.5260423E-02  8.2723531E-03  1.0342059E-02  2.8340770E-04  0.0000000E+00
  7.8507600E+01  1.5069760E-02  8.1631399E-03  1.0138592E-02  2.7452060E-04  0.0000000E+00
  7.8507600E+01  1.4873674E-02  8.0572226E-03  9.9253053E-03  2.6650227E-04  0.0000000E+00
  7.8507600E+01  1.4677068E-02  7.9535631E-03  9.7107353E-03  2.5906238E-04  0.0000000E+00
  7.8507600E+01  1.4485333E-02  7.8525067E-03  9.5058865E-03  2.5185220E-04  0.0000000E+00
  7.8507600E+01  1.4292171E-02  7.7553728E-03  9.3155915E-03  2.4463153E-04  0.0000000E+00
  7.8507600E+01  1.4094538E-02  7.6628117E-03  9.1413801E-03  2.3723658E-04  0.0000000E+00
  7.8507600E+01  1.3897787E-02  7.5734009E-03  8.9825077E-03  2.2971896E-04  0.0000000E+00
  7.8507600E+01  1.3710258E-02  7.4835026E-03  8.8353142E-03  2.2223144E-04  0.0000000E+00
  7.8507600E+01  1.3538435E-02  7.3900738E-03  8.6961588E-03  2.1495493E-04  0.0000000E+00
  7.8507600E+01  1.3382997E-02  7.2929954E-03  8.5627680E-03  2.0803595E-04  0.0000000E+00
  7.8507600E+01  1.3235888E-02  7.1936216E-03  8.4304804E-03  2.0149903E-04  0.0000000E+00
  7.8507600E+01  1.3078055E-02  7.0941894E-03  8.2922089E-03  1.9537053E-04  0.0000000E+00
  7.8507600E+01  1.2900006E-02  6.9974137E-03  8.1498010E-03  1.8966259E-04  0.0000000E+00
  7.8507600E+01  1.2701907E-02  6.9038996E-03  8.0093048E-03  1.8432975E-04  0.0000000E+00
  7.8507600E+01  1.2489205E-02  6.8124426E-03  7.8727706E-03  1.7932053E-04  0.0000000E+00
  7.8507600E+01  1.2266336E-02  6.7202792E-03  7.7366308E-03  1.7455324E-04  0.0000000E+00
  7.8507600E+01  1.2035296E-02  6.6248814E-03  7.5967047E-03  1.6997783E-04  0.0000000E+00
  7.8507600E+01  1.1793287E-02  6.5242359E-03  7.4514339E-03  1.6555262E-04  0.0000000E+00
  7.8507600E+01  1.1538212E-02  6.4185748E-03  7.3038320E-03  1.6128094E-04  0.0000000E+00
  7.8507600E+01  1.1271968E-02  6.3110705E-03  7.1576903E-03  1.5727301E-04  0.0000000E+00
  7.8507600E+01  1.0991501E-02  6.2052979E-03  7.0145289E-03  1.5359000E-04  0.0000000E+00
  7.8507600E+01  1.0690215E-02  6.1041605E-03  6.8721145E-03  1.5031154E-04  0.0000000E+00
  7.8507600E+01  1.0371812E-02  6.0087643E-03  6.7264891E-03  1.4749085E-04  0.0000000E+00
  7.8507600E+01  1.0043404E-02  5.9177651E-03  6.5755104E-03  1.4511251E-04  0.0000000E+00
  7.8507600E+01  9.7127429E-03  5.8288647E-03  6.4221635E-03  1.4306075E-04  0.0000000E+00
  7.8507600E+01  9.3836951E-03  5.7391845E-03  6.2733036E-03  1.4106190E-04  0.0000000E+00
  7.8507600E+01  9.0594881E-03  5.6465142E-03  6.1371173E-03  1.3873576E-04  0.0000000E+00
  7.8507600E+01  8.7445611E-03  5.5487203E-03  6.0152058E-03  1.3574881E-04  0.0000000E+00
  7.8507600E+01  8.4409796E-03  5.4446439E-03  5.9031238E-03  1.3196577E-04  0.0000000E+00
  7.8507600E+01  8.1530285E-03  5.3346601E-03  5.7933181E-03  1.2750052E-04  0.0000000E+00
  7.8507600E+01  7.8861953E-03  5.2189924E-03  5.6801962E-03  1.2262715E-04  0.0000000E+00
  7.8507600E+01  7.6442813E-03  5.0989130E-03  5.5605492E-03  1.1765715E-04  0.0000000E+00
  7.8507600E+01  7.4281387E-03  4.9776043E-03  5.4335266E-03  1.1287457E-04  0.0000000E+00
  7.8507600E+01  7.2334607E-03  4.8581210E-03  5.2994919E-03  1.0844425E-04  0.0000000E+00
  7.8507600E+01  7.0548722E-03  4.7432640E-03  5.1615610E-03  1.0445642E-04  0.0000000E+00
  7.8507600E+01  6.8877780E-03  4.6342375E-03  5.0257673E-03  1.0094005E-04  0.0000000E+00
  7.8507600E+01  6.7290808E-03  4.5312390E-03  4.9006849E-03  9.7872625E-05  0.0000000E+00
  7.8507600E+01  6.5717902E-03  4.4335877E-03  4.7902193E-03  9.5166795E-05  0.0000000E+00
