          atime         eps_uu         eps_vv         eps_ww         pm1avg           tavg
  3.6000000E+02 -5.3952432E-01 -2.1342138E-02 -1.7096707E-01  6.5105713E-03  0.0000000E+00
  3.6000000E+02 -2.8902123E-01 -1.0845645E-02 -6.4489889E-02  6.2887194E-03  0.0000000E+00
  3.6000000E+02 -1.3501561E-01 -8.6070980E-03 -3.0880527E-02  5.7909546E-03  0.0000000E+00
  3.6000000E+02 -7.3161871E-02 -9.4427430E-03 -2.4991529E-02  4.8704733E-03  0.0000000E+00
  3.6000000E+02 -5.2310154E-02 -1.0537253E-02 -2.4599364E-02  3.6352670E-03  0.0000000E+00
  3.6000000E+02 -4.4989592E-02 -1.1536831E-02 -2.4884323E-02  2.2488968E-03  0.0000000E+00
  3.6000000E+02 -4.2448097E-02 -1.2465063E-02 -2.5184080E-02  8.4691746E-04  0.0000000E+00
  3.6000000E+02 -4.1914139E-02 -1.3293698E-02 -2.5368798E-02 -4.7812702E-04  0.0000000E+00
  3.6000000E+02 -4.2198146E-02 -1.3992242E-02 -2.5445010E-02 -1.6690998E-03  0.0000000E+00
  3.6000000E+02 -4.2941325E-02 -1.4566538E-02 -2.5541354E-02 -2.6952634E-03  0.0000000E+00
  3.6000000E+02 -4.3103896E-02 -1.4957184E-02 -2.5280052E-02 -3.5436485E-03  0.0000000E+00
  3.6000000E+02 -4.3108409E-02 -1.5198184E-02 -2.4925297E-02 -4.2143908E-03  0.0000000E+00
  3.6000000E+02 -4.2969989E-02 -1.5310283E-02 -2.4536467E-02 -4.7165327E-03  0.0000000E+00
  3.6000000E+02 -4.2656753E-02 -1.5307474E-02 -2.4123829E-02 -5.0646970E-03  0.0000000E+00
  3.6000000E+02 -4.2176134E-02 -1.5202682E-02 -2.3696085E-02 -5.2766877E-03  0.0000000E+00
  3.6000000E+02 -4.1520378E-02 -1.5009042E-02 -2.3244935E-02 -5.3717949E-03  0.0000000E+00
  3.6000000E+02 -4.0625678E-02 -1.4736382E-02 -2.2727332E-02 -5.3695698E-03  0.0000000E+00
  3.6000000E+02 -3.9499440E-02 -1.4382554E-02 -2.2106099E-02 -5.2888369E-03  0.0000000E+00
  3.6000000E+02 -3.8324715E-02 -1.3955493E-02 -2.1448415E-02 -5.1473667E-03  0.0000000E+00
  3.6000000E+02 -3.6005455E-02 -1.3490050E-02 -2.0400844E-02 -4.9624113E-03  0.0000000E+00
  3.6000000E+02 -3.3565705E-02 -1.2940288E-02 -1.9223055E-02 -4.7477282E-03  0.0000000E+00
  3.6000000E+02 -3.1218396E-02 -1.2386163E-02 -1.8109171E-02 -4.5176299E-03  0.0000000E+00
  3.6000000E+02 -2.9013351E-02 -1.1855857E-02 -1.7100167E-02 -4.2837977E-03  0.0000000E+00
  3.6000000E+02 -2.6947019E-02 -1.1354538E-02 -1.6181041E-02 -4.0553939E-03  0.0000000E+00
  3.6000000E+02 -2.5015570E-02 -1.0880940E-02 -1.5331832E-02 -3.8392581E-03  0.0000000E+00
  3.6000000E+02 -2.3228143E-02 -1.0434678E-02 -1.4545097E-02 -3.6401607E-03  0.0000000E+00
  3.6000000E+02 -2.1597004E-02 -1.0017194E-02 -1.3822418E-02 -3.4610918E-03  0.0000000E+00
  3.6000000E+02 -2.0121396E-02 -9.6292505E-03 -1.3162536E-02 -3.3035597E-03  0.0000000E+00
  3.6000000E+02 -1.8781858E-02 -9.2678753E-03 -1.2553708E-02 -3.1678751E-03  0.0000000E+00
  3.6000000E+02 -1.7561765E-02 -8.9256605E-03 -1.1982862E-02 -3.0533981E-03  0.0000000E+00
  3.6000000E+02 -1.6512898E-02 -8.5953296E-03 -1.1474151E-02 -2.9587226E-03  0.0000000E+00
  3.6000000E+02 -1.5735993E-02 -8.2791054E-03 -1.1096658E-02 -2.8819071E-03  0.0000000E+00
  3.6000000E+02 -1.4128561E-02 -7.9545944E-03 -1.0288814E-02 -2.8215021E-03  0.0000000E+00
  3.6000000E+02 -1.3037890E-02 -7.6551197E-03 -9.7075209E-03 -2.7742895E-03  0.0000000E+00
  3.6000000E+02 -1.2201606E-02 -7.3807128E-03 -9.2396102E-03 -2.7386581E-03  0.0000000E+00
  3.6000000E+02 -1.1492765E-02 -7.1297041E-03 -8.8300676E-03 -2.7126291E-03  0.0000000E+00
  3.6000000E+02 -1.0863397E-02 -6.8996782E-03 -8.4584018E-03 -2.6941102E-03  0.0000000E+00
  3.6000000E+02 -1.0304217E-02 -6.6880848E-03 -8.1213973E-03 -2.6810757E-03  0.0000000E+00
  3.6000000E+02 -9.8181622E-03 -6.4925698E-03 -7.8214271E-03 -2.6716850E-03  0.0000000E+00
  3.6000000E+02 -9.4053895E-03 -6.3110871E-03 -7.5594992E-03 -2.6643486E-03  0.0000000E+00
  3.6000000E+02 -9.0573913E-03 -6.1418585E-03 -7.3322165E-03 -2.6577532E-03  0.0000000E+00
  3.6000000E+02 -8.7578690E-03 -5.9832420E-03 -7.1318225E-03 -2.6508560E-03  0.0000000E+00
  3.6000000E+02 -8.4880170E-03 -5.8335729E-03 -6.9485122E-03 -2.6428588E-03  0.0000000E+00
  3.6000000E+02 -8.2338619E-03 -5.6910423E-03 -6.7741820E-03 -2.6331725E-03  0.0000000E+00
  3.6000000E+02 -7.9933047E-03 -5.5536745E-03 -6.6067966E-03 -2.6213827E-03  0.0000000E+00
  3.6000000E+02 -7.7805142E-03 -5.4194685E-03 -6.4545473E-03 -2.6072274E-03  0.0000000E+00
  3.6000000E+02 -7.6253182E-03 -5.2867659E-03 -6.3389798E-03 -2.5905956E-03  0.0000000E+00
  3.6000000E+02 -7.5246433E-03 -5.1543441E-03 -6.2649794E-03 -2.5715765E-03  0.0000000E+00
  3.6000000E+02 -7.1405859E-03 -5.0168314E-03 -5.9750872E-03 -2.5502752E-03  0.0000000E+00
  3.6000000E+02 -6.8586635E-03 -4.8814176E-03 -5.7595617E-03 -2.5264367E-03  0.0000000E+00
  3.6000000E+02 -6.6278122E-03 -4.7497950E-03 -5.5803734E-03 -2.5002346E-03  0.0000000E+00
  3.6000000E+02 -6.4208145E-03 -4.6229009E-03 -5.4174177E-03 -2.4718795E-03  0.0000000E+00
  3.6000000E+02 -6.2258757E-03 -4.5011626E-03 -5.2623009E-03 -2.4415883E-03  0.0000000E+00
  3.6000000E+02 -6.0401411E-03 -4.3846841E-03 -5.1134824E-03 -2.4095630E-03  0.0000000E+00
  3.6000000E+02 -5.8649415E-03 -4.2733788E-03 -4.9726412E-03 -2.3759774E-03  0.0000000E+00
  3.6000000E+02 -5.7025537E-03 -4.1670573E-03 -4.8421369E-03 -2.3409694E-03  0.0000000E+00
  3.6000000E+02 -5.5542624E-03 -4.0654773E-03 -4.7234320E-03 -2.3046395E-03  0.0000000E+00
  3.6000000E+02 -5.4195112E-03 -3.9683629E-03 -4.6163462E-03 -2.2670541E-03  0.0000000E+00
  3.6000000E+02 -5.2959270E-03 -3.8753998E-03 -4.5190105E-03 -2.2282515E-03  0.0000000E+00
  3.6000000E+02 -5.1800078E-03 -3.7862148E-03 -4.4283896E-03 -2.1882515E-03  0.0000000E+00
  3.6000000E+02 -5.0682575E-03 -3.7003467E-03 -4.3412432E-03 -2.1470661E-03  0.0000000E+00
  3.6000000E+02 -4.9585562E-03 -3.6172152E-03 -4.2553922E-03 -2.1047101E-03  0.0000000E+00
  3.6000000E+02 -4.8515523E-03 -3.5360958E-03 -4.1711614E-03 -2.0612127E-03  0.0000000E+00
  3.6000000E+02 -4.7518629E-03 -3.4561075E-03 -4.0928658E-03 -2.0166262E-03  0.0000000E+00
  3.6000000E+02 -4.6688688E-03 -3.3762213E-03 -4.0302097E-03 -1.9710331E-03  0.0000000E+00
