          atime           uavg           vavg           wavg         pm1avg           tavg
  2.4000000E+02  1.6257988E-16  1.7365144E-16  1.5924341E-18  9.7310925E-03  0.0000000E+00
  2.4000000E+02  1.9610840E-02  1.3118128E-02  1.5218897E-04  9.3216239E-03  0.0000000E+00
  2.4000000E+02  4.9327154E-02  2.1122104E-02  3.1847802E-04  8.9073861E-03  0.0000000E+00
  2.4000000E+02  8.1483657E-02  2.4590449E-02  4.4809492E-04  7.9548646E-03  0.0000000E+00
  2.4000000E+02  1.1675553E-01  2.5998942E-02  5.5440045E-04  6.5224312E-03  0.0000000E+00
  2.4000000E+02  1.5365068E-01  2.6077473E-02  6.3448155E-04  4.8538713E-03  0.0000000E+00
  2.4000000E+02  1.9098287E-01  2.5199900E-02  6.8353233E-04  3.1280752E-03  0.0000000E+00
  2.4000000E+02  2.2801269E-01  2.3587565E-02  7.0127626E-04  1.4494507E-03  0.0000000E+00
  2.4000000E+02  2.6441056E-01  2.1399226E-02  6.9154060E-04 -1.2526683E-04  0.0000000E+00
  2.4000000E+02  3.0011959E-01  1.8796700E-02  6.5900292E-04 -1.5657737E-03  0.0000000E+00
  2.4000000E+02  3.3512564E-01  1.5966032E-02  6.0765586E-04 -2.8560860E-03  0.0000000E+00
  2.4000000E+02  3.6923529E-01  1.3105649E-02  5.4180554E-04 -3.9902521E-03  0.0000000E+00
  2.4000000E+02  4.0201170E-01  1.0377492E-02  4.6420205E-04 -4.9704063E-03  0.0000000E+00
  2.4000000E+02  4.3289666E-01  7.8720207E-03  3.7566006E-04 -5.8042306E-03  0.0000000E+00
  2.4000000E+02  4.6144592E-01  5.6046302E-03  2.7768439E-04 -6.5031595E-03  0.0000000E+00
  2.4000000E+02  4.8754599E-01  3.5443760E-03  1.7409924E-04 -7.0805810E-03  0.0000000E+00
  2.4000000E+02  5.1145675E-01  1.6518741E-03  6.8676248E-05 -7.5489571E-03  0.0000000E+00
  2.4000000E+02  5.3362573E-01 -8.8985472E-05 -3.5373547E-05 -7.9183812E-03  0.0000000E+00
  2.4000000E+02  5.5448704E-01 -1.6746656E-03 -1.3430357E-04 -8.1961631E-03  0.0000000E+00
  2.4000000E+02  5.7436495E-01 -3.0932341E-03 -2.2512244E-04 -8.3874184E-03  0.0000000E+00
  2.4000000E+02  5.9346143E-01 -4.3325153E-03 -3.0606803E-04 -8.4966252E-03  0.0000000E+00
  2.4000000E+02  6.1188570E-01 -5.3846192E-03 -3.7666912E-04 -8.5290863E-03  0.0000000E+00
  2.4000000E+02  6.2968566E-01 -6.2469202E-03 -4.3826723E-04 -8.4917270E-03  0.0000000E+00
  2.4000000E+02  6.4686085E-01 -6.9215238E-03 -4.9473120E-04 -8.3936333E-03  0.0000000E+00
  2.4000000E+02  6.6339632E-01 -7.4185115E-03 -5.4858199E-04 -8.2445001E-03  0.0000000E+00
  2.4000000E+02  6.7926294E-01 -7.7491266E-03 -6.0094660E-04 -8.0552536E-03  0.0000000E+00
  2.4000000E+02  6.9443903E-01 -7.9306529E-03 -6.5109110E-04 -7.8369852E-03  0.0000000E+00
  2.4000000E+02  7.0891429E-01 -7.9836338E-03 -6.9830990E-04 -7.5998094E-03  0.0000000E+00
  2.4000000E+02  7.2269128E-01 -7.9295140E-03 -7.4270522E-04 -7.3524637E-03  0.0000000E+00
